1,1_TYPE,"Eldon Base for stackable storage shelf, platinum","Eldon Base for stackable storage shelf, platinum_TYPE","Muhammed MacIntyre","Muhammed MacIntyre_TYPE",3,3_TYPE,-213.25,-213.25_TYPE,38.94,38.94_TYPE,35,35_TYPE,Nunavut,Nunavut_TYPE,"Storage & Organization","Storage & Organization_TYPE",0.8,0.8_TYPE
238,Number,"GE 4 Foot Flourescent Tube, 40 Watt",Mix,"Sylvia Foulston",String,26567,Number,-17.75,Number,14.98,Number,8.99,Number,"Northwest Territories",String,"Office Furnishings",String,0.39,Number
239,Number,"300 Series Non-Flip",Mix,"Sylvia Foulston",String,26567,Number,1374.95,Number,155.99,Number,8.08,Number,"Northwest Territories",String,"Telephones and Communication",String,0.6,Number
240,Number,"Executive Impressions 13"" Chairman Wall Clock",Mix,"Charlotte Melton",String,26854,Number,-12.95,Number,25.38,Number,8.99,Number,"Northwest Territories",String,"Office Furnishings",String,0.5,Number
241,Number,"Micro Innovations 104 Keyboard",Mix,"Barry French",String,27109,Number,-154.66,Number,10.97,Number,6.5,Number,"Northwest Territories",String,"Computer Peripherals",String,0.64,Number
242,Number,"US Robotics 56K V.92 External Faxmodem",Mix,"Heather Kirkland",String,27111,Number,-127.56,Number,99.99,Number,19.99,Number,"Northwest Territories",String,"Computer Peripherals",String,0.52,Number
243,Number,"Fellowes Staxonsteel® Drawer Files",String,"Heather Kirkland",String,27111,Number,282.18,Number,193.17,Number,19.99,Number,"Northwest Territories",String,"Storage & Organization",String,0.71,Number
244,Number,Accessory39,Mix,"Heather Kirkland",String,27111,Number,-96.34,Number,20.99,Number,3.3,Number,"Northwest Territories",String,"Telephones and Communication",String,0.81,Number
245,Number,"Telescoping Adjustable Floor Lamp",String,"Henry Goldwyn",String,27264,Number,44.54,Number,19.99,Number,11.17,Number,"Northwest Territories",String,"Office Furnishings",String,0.6,Number
246,Number,"Canon MP41DH Printing Calculator",Mix,"Frank Price",String,27392,Number,2509.52,Number,150.98,Number,13.99,Number,"Northwest Territories",String,"Office Machines",String,0.38,Number
247,Number,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",String,"Jim Radford",String,27553,Number,1166.93,Number,370.98,Number,99,Number,"Northwest Territories",String,"Storage & Organization",String,0.65,Number
248,Number,"VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine",Mix,"Jim Radford",String,27553,Number,297.11,Number,179.99,Number,13.99,Number,"Northwest Territories",String,"Telephones and Communication",String,0.57,Number
249,Number,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Mix,"Ralph Knight",String,27555,Number,65.41,Number,6.74,Number,1.72,Number,"Northwest Territories",String,Paper,String,0.35,Number
250,Number,"Belkin 6 Outlet Metallic Surge Strip",Mix,"Delfina Latchford",String,27680,Number,-46.98,Number,10.89,Number,4.5,Number,"Northwest Territories",String,Appliances,String,0.59,Number
251,Number,"Xerox 21",Mix,"Delfina Latchford",String,27680,Number,-46.89,Number,6.48,Number,6.6,Number,"Northwest Territories",String,Paper,String,0.37,Number
252,Number,"GBC DocuBind TL200 Manual Binding Machine",Mix,"Roy Skaria",String,27778,Number,-105.14,Number,223.98,Number,15.01,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
253,Number,"Sauder Forest Hills Library, Woodland Oak Finish",String,"Roy Skaria",String,27778,Number,-393.96,Number,140.98,Number,36.09,Number,"Northwest Territories",String,Bookcases,String,0.77,Number
254,Number,"Xerox 1940",Mix,"Monica Federle",String,27909,Number,-23.24,Number,54.96,Number,10.75,Number,"Northwest Territories",String,Paper,String,0.36,Number
255,Number,"Bagged Rubber Bands",String,"Monica Federle",String,27909,Number,-24.86,Number,1.26,Number,0.7,Number,"Northwest Territories",String,"Rubber Bands",String,0.81,Number
256,Number,"Xerox 1897",Mix,"Charles McCrossin",String,28003,Number,-95.92,Number,4.98,Number,6.07,Number,"Northwest Territories",String,Paper,String,0.36,Number
257,Number,"Poly Designer Cover & Back",String,"Don Miller",String,28035,Number,89.56,Number,18.99,Number,5.23,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.37,Number
258,Number,"Bionaire Personal Warm Mist Humidifier/Vaporizer",String,"Jeremy Lonsdale",String,28135,Number,520.69,Number,46.89,Number,5.1,Number,"Northwest Territories",String,Appliances,String,0.46,Number
259,Number,"Acme® 8"" Straight Scissors",Mix,"Jeremy Lonsdale",String,28135,Number,38.23,Number,12.98,Number,3.14,Number,"Northwest Territories",String,"Scissors, Rulers and Trimmers",String,0.6,Number
260,Number,"Heavy-Duty E-Z-D® Binders",String,"Grant Carroll",String,28165,Number,-12.80,Number,10.91,Number,2.99,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
261,Number,"Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)",Mix,"Carl Ludwig",String,28289,Number,-46.03,Number,4.98,Number,4.75,Number,"Northwest Territories",String,Paper,String,0.36,Number
262,Number,"Deluxe Rollaway Locking File with Drawer",String,"Carlos Daly",String,28486,Number,-517.47,Number,415.88,Number,11.37,Number,"Northwest Territories",String,"Storage & Organization",String,0.57,Number
263,Number,252,Number,"Ralph Knight",String,28675,Number,4.39,Number,65.99,Number,5.92,Number,"Northwest Territories",String,"Telephones and Communication",String,0.55,Number
264,Number,6160,Number,"Cindy Schnelling",String,28870,Number,822.40,Number,115.99,Number,2.5,Number,"Northwest Territories",String,"Telephones and Communication",String,0.57,Number
265,Number,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Mix,"Claudia Miner",String,28871,Number,-56.12,Number,5.02,Number,5.14,Number,"Northwest Territories",String,"Computer Peripherals",String,0.79,Number
266,Number,"Prismacolor Color Pencil Set",String,"Roy Skaria",String,29030,Number,24.60,Number,19.84,Number,4.1,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.44,Number
267,Number,"Wilson Jones DublLock® D-Ring Binders",String,"Delfina Latchford",String,29095,Number,54.46,Number,6.75,Number,2.99,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.35,Number
268,Number,"Binder Posts",String,"Edward Hooks",String,29287,Number,-106.40,Number,5.74,Number,5.01,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.39,Number
269,Number,"Epson LQ-570e Dot Matrix Printer",Mix,"Edward Hooks",String,29287,Number,2699.67,Number,270.97,Number,28.06,Number,"Northwest Territories",String,"Office Machines",String,0.56,Number
270,Number,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Mix,"Don Miller",String,29510,Number,1292.44,Number,260.98,Number,41.91,Number,"Northwest Territories",String,Bookcases,String,0.59,Number
271,Number,"Fellowes PB300 Plastic Comb Binding Machine",Mix,"Grant Carroll",String,29795,Number,8793.54,Number,387.99,Number,19.99,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
272,Number,"Rush Hierlooms Collection Rich Wood Bookcases",String,"Grant Carroll",String,29795,Number,813.83,Number,160.98,Number,35.02,Number,"Northwest Territories",String,Bookcases,String,0.72,Number
273,Number,"Avery 481",Mix,"Brad Eason",String,29861,Number,5.58,Number,3.08,Number,0.99,Number,"Northwest Territories",String,Labels,String,0.37,Number
274,Number,"Sharp AL-1530CS Digital Copier",Mix,"Charles McCrossin",String,30658,Number,6907.61,Number,499.99,Number,24.49,Number,"Northwest Territories",String,"Copiers and Fax",String,0.36,Number
275,Number,"SAFCO Commercial Wire Shelving, Black",String,"Charles McCrossin",String,30658,Number,-942.50,Number,138.14,Number,35,Number,"Northwest Territories",String,"Storage & Organization",String,,String
276,Number,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Mix,"Charles McCrossin",String,30947,Number,261.24,Number,41.94,Number,2.99,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.35,Number
277,Number,"Self-Adhesive Address Labels for Typewriters by Universal",String,"Charles McCrossin",String,30947,Number,183.53,Number,7.31,Number,0.49,Number,"Northwest Territories",String,Labels,String,0.38,Number
278,Number,"StarTAC Series",String,"Bryan Mills",String,31077,Number,470.83,Number,65.99,Number,3.9,Number,"Northwest Territories",String,"Telephones and Communication",String,0.55,Number
279,Number,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Mix,"Monica Federle",String,31111,Number,-29.02,Number,7.64,Number,5.83,Number,"Northwest Territories",String,Paper,String,0.36,Number
280,Number,"Dana Halogen Swing-Arm Architect Lamp",String,"Michelle Lonsdale",String,31169,Number,109.88,Number,40.97,Number,14.45,Number,"Northwest Territories",String,"Office Furnishings",String,0.57,Number
281,Number,"Global Comet™ Stacking Armless Chair",String,"Michelle Lonsdale",String,31270,Number,801.72,Number,299.05,Number,87.01,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.57,Number
282,Number,"Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs",Mix,"Michelle Lonsdale",String,31270,Number,-328.36,Number,291.73,Number,48.8,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.56,Number
283,Number,"Fellowes Internet Keyboard, Platinum",String,"Michelle Lonsdale",String,31270,Number,-112.44,Number,30.42,Number,8.65,Number,"Northwest Territories",String,"Computer Peripherals",String,0.74,Number
284,Number,"Deluxe Rollaway Locking File with Drawer",String,"Beth Thompson",String,31364,Number,-539.59,Number,415.88,Number,11.37,Number,"Northwest Territories",String,"Storage & Organization",String,0.57,Number
285,Number,"Luxo Economy Swing Arm Lamp",String,"Cindy Schnelling",String,31393,Number,-27.31,Number,19.94,Number,14.87,Number,"Northwest Territories",String,"Office Furnishings",String,0.57,Number
286,Number,"*Staples* vLetter Openers, 2/Pack",Mix,"Cindy Schnelling",String,31393,Number,-32.65,Number,3.68,Number,1.32,Number,"Northwest Territories",String,"Scissors, Rulers and Trimmers",String,0.83,Number
287,Number,"Staples 6 Outlet Surge",Mix,"Nicole Hansen",String,31492,Number,-12.25,Number,11.97,Number,4.98,Number,"Northwest Territories",String,Appliances,String,0.58,Number
288,Number,"Acco Perma® 2700 Stacking Storage Drawers",Mix,"Nicole Hansen",String,31492,Number,-21.10,Number,29.74,Number,6.64,Number,"Northwest Territories",String,"Storage & Organization",String,0.7,Number
289,Number,"Fellowes Stor/Drawer® Steel Plus™ Storage Drawers",String,"Nicole Hansen",String,31492,Number,-235.56,Number,95.43,Number,19.99,Number,"Northwest Territories",String,"Storage & Organization",String,0.79,Number
290,Number,"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room",Mix,"Cari Schnelling",String,31558,Number,900.06,Number,300.65,Number,24.49,Number,"Northwest Territories",String,Appliances,String,0.52,Number
291,Number,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Mix,"Cari Schnelling",String,31558,Number,455.37,Number,45.19,Number,1.99,Number,"Northwest Territories",String,"Computer Peripherals",String,0.55,Number
292,Number,"Lock-Up Easel 'Spel-Binder'",String,"Roy Skaria",String,31618,Number,147.45,Number,28.53,Number,1.49,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
293,Number,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Mix,"Susan Vittorini",String,31684,Number,23.48,Number,5.68,Number,1.46,Number,"Northwest Territories",String,Paper,String,0.39,Number
294,Number,"Tenex File Box, Personal Filing Tote with Lid, Black",String,"Susan Vittorini",String,31684,Number,-328.18,Number,15.51,Number,17.78,Number,"Northwest Territories",String,"Storage & Organization",String,0.59,Number
295,Number,"Fellowes Black Plastic Comb Bindings",String,"Sylvia Foulston",String,31781,Number,-282.61,Number,5.81,Number,8.49,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.39,Number
296,Number,"Assorted Color Push Pins",String,"Sylvia Foulston",String,31781,Number,5.53,Number,1.81,Number,0.75,Number,"Northwest Territories",String,"Rubber Bands",String,0.52,Number
297,Number,"HP Office Paper (20Lb. and 87 Bright)",Mix,"Chad Cunningham",String,32193,Number,-10.25,Number,6.68,Number,6.93,Number,"Northwest Territories",String,Paper,String,0.37,Number
298,Number,"Staples Vinyl Coated Paper Clips",String,"Chad Cunningham",String,32193,Number,37.33,Number,3.93,Number,0.99,Number,"Northwest Territories",String,"Rubber Bands",String,0.39,Number
299,Number,"Canon MP41DH Printing Calculator",Mix,"Carlos Daly",String,32229,Number,44.37,Number,150.98,Number,13.99,Number,"Northwest Territories",String,"Office Machines",String,0.38,Number
300,Number,"Newell 310",Mix,"Carlos Daly",String,32229,Number,-0.12,Number,1.76,Number,0.7,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.56,Number
301,Number,"Kensington 7 Outlet MasterPiece Power Center",Mix,"Grant Carroll",String,32743,Number,1280.19,Number,177.98,Number,0.99,Number,"Northwest Territories",String,Appliances,String,0.56,Number
302,Number,"DAX Metal Frame, Desktop, Stepped-Edge",String,"Julia West",String,32806,Number,-28.34,Number,20.24,Number,8.99,Number,"Northwest Territories",String,"Office Furnishings",String,0.46,Number
303,Number,"Bush Mission Pointe Library",String,"Roy Skaria",String,33123,Number,-996.67,Number,150.98,Number,66.27,Number,"Northwest Territories",String,Bookcases,String,0.65,Number
304,Number,Accessory21,Mix,"Cindy Schnelling",String,33159,Number,-70.97,Number,20.99,Number,0.99,Number,"Northwest Territories",String,"Telephones and Communication",String,0.37,Number
305,Number,8860,Number,"Don Jones",String,33186,Number,221.18,Number,65.99,Number,5.26,Number,"Northwest Territories",String,"Telephones and Communication",String,0.56,Number
306,Number,"Array® Memo Cubes",String,"Beth Thompson",String,33377,Number,11.94,Number,5.18,Number,2.04,Number,"Northwest Territories",String,Paper,String,0.36,Number
307,Number,"Fiskars 8"" Scissors, 2/Pack",Mix,"Beth Thompson",String,33377,Number,47.30,Number,17.24,Number,3.26,Number,"Northwest Territories",String,"Scissors, Rulers and Trimmers",String,0.56,Number
308,Number,"12 Colored Short Pencils",Mix,"Alan Barnes",String,33444,Number,-17.68,Number,2.6,Number,2.4,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.58,Number
309,Number,"Pizazz® Global Quick File™",String,"Alan Barnes",String,33444,Number,-30.48,Number,14.97,Number,7.51,Number,"Northwest Territories",String,"Storage & Organization",String,0.57,Number
310,Number,"Imation 5.2GB DVD-RAM",Mix,"Carl Ludwig",String,33703,Number,-131.48,Number,60.98,Number,1.99,Number,"Northwest Territories",String,"Computer Peripherals",String,0.5,Number
311,Number,"Acco Perma® 2700 Stacking Storage Drawers",Mix,"Carl Ludwig",String,33703,Number,56.26,Number,29.74,Number,6.64,Number,"Northwest Territories",String,"Storage & Organization",String,0.7,Number
312,Number,"Portable Personal File Box",String,"Carl Ludwig",String,33703,Number,-8.47,Number,12.21,Number,4.81,Number,"Northwest Territories",String,"Storage & Organization",String,0.58,Number
313,Number,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",String,"Jamie Kunitz",String,33734,Number,106.53,Number,29.14,Number,4.86,Number,"Northwest Territories",String,Paper,String,0.38,Number
314,Number,"Ibico Covers for Plastic or Wire Binding Elements",String,"Heather Kirkland",String,33888,Number,-44.92,Number,11.5,Number,7.19,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.4,Number
315,Number,"Hanging Personal Folder File",String,"Heather Kirkland",String,33888,Number,-35.08,Number,15.7,Number,11.25,Number,"Northwest Territories",String,"Storage & Organization",String,0.6,Number
316,Number,"Tennsco Double-Tier Lockers",String,"Heather Kirkland",String,33888,Number,965.48,Number,225.02,Number,28.66,Number,"Northwest Territories",String,"Storage & Organization",String,0.72,Number
317,Number,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Mix,"Doug Bickford",String,33894,Number,11.34,Number,9.27,Number,4.39,Number,"Northwest Territories",String,Paper,String,0.38,Number
318,Number,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Mix,"Doug Bickford",String,33894,Number,-32.48,Number,6.84,Number,8.37,Number,"Northwest Territories",String,"Scissors, Rulers and Trimmers",String,0.58,Number
319,Number,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Mix,"Doug Bickford",String,33894,Number,-173.15,Number,4.98,Number,4.62,Number,"Northwest Territories",String,"Computer Peripherals",String,0.64,Number
320,Number,"PC Concepts 116 Key Quantum 3000 Keyboard",Mix,"Doug Bickford",String,33894,Number,-119.02,Number,32.98,Number,5.5,Number,"Northwest Territories",String,"Computer Peripherals",String,0.75,Number
321,Number,"Epson Stylus 1520 Color Inkjet Printer",Mix,"Carlos Daly",String,33922,Number,5353.19,Number,500.97,Number,69.3,Number,"Northwest Territories",String,"Office Machines",String,0.37,Number
322,Number,"Avery 494",Mix,"Toby Braunhardt",String,34177,Number,9.47,Number,2.61,Number,0.5,Number,"Northwest Territories",String,Labels,String,0.39,Number
323,Number,"Self-Adhesive Address Labels for Typewriters by Universal",String,"Toby Braunhardt",String,34177,Number,73.18,Number,7.31,Number,0.49,Number,"Northwest Territories",String,Labels,String,0.38,Number
324,Number,Accessory37,Mix,"Toby Braunhardt",String,34177,Number,-83.95,Number,20.99,Number,2.5,Number,"Northwest Territories",String,"Telephones and Communication",String,0.81,Number
325,Number,"Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders",Mix,"Cari Schnelling",String,34215,Number,-5.92,Number,5.34,Number,2.99,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
326,Number,"Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac",String,"Thomas Seio",String,34246,Number,-257.11,Number,4.06,Number,6.89,Number,"Northwest Territories",String,Appliances,String,0.6,Number
327,Number,"AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting",Mix,"Thomas Seio",String,34246,Number,192.33,Number,99.99,Number,19.99,Number,"Northwest Territories",String,"Office Machines",String,0.52,Number
328,Number,"Peel & Seel® Recycled Catalog Envelopes, Brown",String,"Thomas Seio",String,34246,Number,1.91,Number,11.58,Number,6.97,Number,"Northwest Territories",String,Envelopes,String,0.35,Number
329,Number,"Cardinal Poly Pocket Divider Pockets for Ring Binders",String,"Brendan Dodson",String,34631,Number,-22.28,Number,3.36,Number,6.27,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.4,Number
330,Number,"Canon PC1060 Personal Laser Copier",Mix,"Brendan Dodson",String,34631,Number,2808.22,Number,699.99,Number,24.49,Number,"Northwest Territories",String,"Copiers and Fax",String,0.41,Number
331,Number,"Sterling Rubber Bands by Alliance",String,"Charlotte Melton",String,35047,Number,-7.06,Number,4.71,Number,0.7,Number,"Northwest Territories",String,"Rubber Bands",String,0.85,Number
332,Number,"Newell 312",Mix,"Beth Thompson",String,35266,Number,33.50,Number,5.84,Number,1.2,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.55,Number
333,Number,"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",String,"Beth Thompson",String,35266,Number,-998.94,Number,218.75,Number,69.64,Number,"Northwest Territories",String,Tables,String,0.77,Number
334,Number,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Mix,"Eugene Barchas",String,35847,Number,-144.27,Number,15.98,Number,8.99,Number,"Northwest Territories",String,"Computer Peripherals",String,0.64,Number
335,Number,"Avery Flip-Chart Easel Binder, Black",String,"Michelle Lonsdale",String,36001,Number,-78.36,Number,22.38,Number,15.1,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
336,Number,"GBC Binding covers",String,"Michelle Lonsdale",String,36001,Number,51.82,Number,12.95,Number,4.98,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.4,Number
337,Number,R280,Mix,"Grant Carroll",String,36134,Number,-413.33,Number,155.99,Number,8.99,Number,"Northwest Territories",String,"Telephones and Communication",String,0.55,Number
338,Number,Accessory9,Mix,"Beth Paige",String,36135,Number,381.17,Number,35.99,Number,3.3,Number,"Northwest Territories",String,"Telephones and Communication",String,0.39,Number
339,Number,"U.S. Robotics 56K Internet Call Modem",Mix,"Dorothy Wardle",String,36644,Number,218.72,Number,99.99,Number,19.99,Number,"Northwest Territories",String,"Computer Peripherals",String,0.5,Number
340,Number,"Tennsco Industrial Shelving",String,"Muhammed MacIntyre",String,36646,Number,-743.96,Number,48.91,Number,35,Number,"Northwest Territories",String,"Storage & Organization",String,0.83,Number
341,Number,"Staples Bulldog Clip",String,"Charlotte Melton",String,36707,Number,71.56,Number,3.78,Number,0.71,Number,"Northwest Territories",String,"Rubber Bands",String,0.39,Number
342,Number,"Micro Innovations Micro 3000 Keyboard, Black",Mix,"Muhammed MacIntyre",String,37253,Number,-99.55,Number,26.31,Number,5.89,Number,"Northwest Territories",String,"Computer Peripherals",String,0.75,Number
343,Number,"Fellowes Basic 104-Key Keyboard, Platinum",Mix,"Claudia Miner",String,37541,Number,-70.68,Number,20.95,Number,5.99,Number,"Northwest Territories",String,"Computer Peripherals",String,0.65,Number
344,Number,"Xerox 1882",Mix,"Claudia Miner",String,37541,Number,98.32,Number,55.98,Number,13.88,Number,"Northwest Territories",String,Paper,String,0.36,Number
345,Number,"Carina Double Wide Media Storage Towers in Natural & Black",String,"Claudia Miner",String,37541,Number,-599.54,Number,80.98,Number,35,Number,"Northwest Territories",String,"Storage & Organization",String,0.81,Number
346,Number,"Portable Personal File Box",String,"Brendan Dodson",String,37634,Number,-36.78,Number,12.21,Number,4.81,Number,"Northwest Territories",String,"Storage & Organization",String,0.58,Number
347,Number,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Mix,"Dorothy Wardle",String,37793,Number,-49.31,Number,13.9,Number,7.59,Number,"Northwest Territories",String,"Scissors, Rulers and Trimmers",String,0.56,Number
348,Number,"Eldon Cleatmat® Chair Mats for Medium Pile Carpets",String,"Mike Pelletier",String,37860,Number,-98.31,Number,55.5,Number,52.2,Number,"Northwest Territories",String,"Office Furnishings",String,0.72,Number
349,Number,"Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)",Mix,"Edward Hooks",String,38884,Number,-119.84,Number,5.28,Number,5.66,Number,"Northwest Territories",String,Paper,String,0.4,Number
350,Number,"Hon 94000 Series Round Tables",Mix,"Edward Hooks",String,38884,Number,-98.05,Number,296.18,Number,54.12,Number,"Northwest Territories",String,Tables,String,0.76,Number
351,Number,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",String,"Jamie Kunitz",String,39364,Number,-1.33,Number,92.23,Number,39.61,Number,"Northwest Territories",String,"Office Furnishings",String,0.67,Number
352,Number,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",Mix,"Jamie Kunitz",String,39364,Number,8417.57,Number,1270.99,Number,19.99,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.35,Number
353,Number,"Global High-Back Leather Tilter, Burgundy",String,"Julia West",String,39457,Number,-1975.26,Number,122.99,Number,70.2,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.74,Number
354,Number,"Poly Designer Cover & Back",String,"Jeremy Lonsdale",String,39683,Number,168.00,Number,18.99,Number,5.23,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.37,Number
355,Number,"Lifetime Advantage™ Folding Chairs, 4/Carton",Mix,"Jeremy Lonsdale",String,39683,Number,2113.95,Number,218.08,Number,18.06,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.57,Number
356,Number,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Mix,"Jeremy Lonsdale",String,39683,Number,66.97,Number,20.24,Number,6.67,Number,"Northwest Territories",String,"Office Furnishings",String,0.49,Number
357,Number,"Stockwell Push Pins",String,"Jeremy Lonsdale",String,39683,Number,6.37,Number,2.18,Number,0.78,Number,"Northwest Territories",String,"Rubber Bands",String,0.52,Number
358,Number,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Mix,"Cindy Schnelling",String,39846,Number,-62.73,Number,4.98,Number,4.62,Number,"Northwest Territories",String,"Computer Peripherals",String,0.64,Number
359,Number,8260,Number,"Heather Kirkland",String,40036,Number,-147.36,Number,65.99,Number,8.99,Number,"Northwest Territories",String,"Telephones and Communication",String,0.58,Number
360,Number,3390,Number,"Alan Barnes",String,40067,Number,519.25,Number,65.99,Number,5.31,Number,"Northwest Territories",String,"Telephones and Communication",String,0.57,Number
361,Number,"Global Deluxe Stacking Chair, Gray",String,"Hunter Glantz",String,40132,Number,149.83,Number,50.98,Number,14.19,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.56,Number
362,Number,"Bevis 36 x 72 Conference Tables",Mix,"Hunter Glantz",String,40132,Number,-219.38,Number,124.49,Number,51.94,Number,"Northwest Territories",String,Tables,String,0.63,Number
363,Number,"Avery Flip-Chart Easel Binder, Black",String,"Hunter Glantz",String,40132,Number,-86.20,Number,22.38,Number,15.1,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
364,Number,"Howard Miller 16"" Diameter Gallery Wall Clock",Mix,"Julia West",String,40160,Number,202.87,Number,63.94,Number,14.48,Number,"Northwest Territories",String,"Office Furnishings",String,0.46,Number
365,Number,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Mix,"Carlos Daly",String,40518,Number,-12.16,Number,4.13,Number,5.04,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.38,Number
366,Number,"Global High-Back Leather Tilter, Burgundy",String,"Barry French",String,40804,Number,-1775.83,Number,122.99,Number,70.2,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.74,Number
367,Number,"Wilson Jones Hanging View Binder, White, 1""",Mix,"Susan Vittorini",String,40902,Number,-48.88,Number,7.1,Number,6.05,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.39,Number
368,Number,"Boston 1730 StandUp Electric Pencil Sharpener",Mix,"Carl Jackson",String,41063,Number,-34.09,Number,21.38,Number,8.99,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.59,Number
369,Number,Accessory31,Mix,"Carl Jackson",String,41063,Number,42.27,Number,35.99,Number,0.99,Number,"Northwest Territories",String,"Telephones and Communication",String,0.35,Number
370,Number,Accessory8,Mix,"Carl Jackson",String,41063,Number,822.89,Number,85.99,Number,1.25,Number,"Northwest Territories",String,"Telephones and Communication",String,0.39,Number
371,Number,"Fellowes 17-key keypad for PS/2 interface",Mix,"Alan Barnes",String,41153,Number,-45.10,Number,30.73,Number,4,Number,"Northwest Territories",String,"Computer Peripherals",String,0.75,Number
372,Number,"Hanging Personal Folder File",String,"Charlotte Melton",String,41184,Number,-56.06,Number,15.7,Number,11.25,Number,"Northwest Territories",String,"Storage & Organization",String,0.6,Number
373,Number,"Ibico Covers for Plastic or Wire Binding Elements",String,"Beth Thompson",String,41409,Number,-18.25,Number,11.5,Number,7.19,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.4,Number
374,Number,"Hoover Portapower™ Portable Vacuum",String,"Bryan Mills",String,41696,Number,-2088.68,Number,4.48,Number,49,Number,"Northwest Territories",String,Appliances,String,0.6,Number
375,Number,"Fellowes Command Center 5-outlet power strip",Mix,"Alan Barnes",String,42209,Number,-12.82,Number,67.84,Number,0.99,Number,"Northwest Territories",String,Appliances,String,0.58,Number
376,Number,"SAFCO Arco Folding Chair",String,"Alan Barnes",String,42209,Number,2795.36,Number,276.2,Number,24.49,Number,"Northwest Territories",String,"Chairs & Chairmats",String,,String
377,Number,Accessory12,Mix,"Beth Paige",String,42561,Number,298.48,Number,85.99,Number,2.5,Number,"Northwest Territories",String,"Telephones and Communication",String,0.35,Number
378,Number,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",String,"Mike Pelletier",String,42564,Number,2155.41,Number,200.98,Number,23.76,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.58,Number
