RowNumber,RowNumber_TYPE,CustomerId,CustomerId_TYPE,Surname,Surname_TYPE,CreditScore,CreditScore_TYPE,Geography,Geography_TYPE,Gender,Gender_TYPE,Age,Age_TYPE,Tenure,Tenure_TYPE,Balance,Balance_TYPE,NumOfProducts,NumOfProducts_TYPE,HasCrCard,HasCrCard_TYPE,IsActiveMember,IsActiveMember_TYPE,EstimatedSalary,EstimatedSalary_TYPE,Exited,Exited_TYPE
2244,Number,15780038,Number,Paterson,String,756,Number,Spain,String,Male,String,38,Number,6,Number,119208.85,Number,1,Number,1,Number,0,Number,169763.89,Number,1,Number
2245,Number,15756305,Number,Marchesi,String,515,Number,France,String,Female,String,66,Number,6,Number,0,Number,2,Number,1,Number,1,Number,160663.11,Number,0,Number
2246,Number,15578799,Number,Anayolisa,String,625,Number,France,String,Female,String,58,Number,10,Number,53772.73,Number,1,Number,1,Number,1,Number,192072.1,Number,1,Number
2247,Number,15800326,Number,Poole,String,717,Number,Spain,String,Female,String,39,Number,6,Number,0,Number,2,Number,1,Number,0,Number,93275.61,Number,0,Number
2248,Number,15785485,Number,Zhou,String,595,Number,Germany,String,Female,String,41,Number,2,Number,138878.81,Number,1,Number,0,Number,1,Number,112269.67,Number,0,Number
2249,Number,15783958,Number,Bates,String,539,Number,Spain,String,Female,String,37,Number,1,Number,130922.81,Number,2,Number,0,Number,0,Number,2186.83,Number,0,Number
2250,Number,15727546,Number,Olejuru,String,762,Number,France,String,Male,String,35,Number,9,Number,0,Number,2,Number,1,Number,1,Number,43075.7,Number,0,Number
2251,Number,15739576,Number,Bustard,String,706,Number,Spain,String,Male,String,20,Number,8,Number,0,Number,2,Number,1,Number,1,Number,12368.11,Number,0,Number
2252,Number,15631333,Number,Wade,String,677,Number,Spain,String,Female,String,25,Number,8,Number,130866.19,Number,1,Number,1,Number,0,Number,42410.21,Number,0,Number
2253,Number,15604782,Number,Tan,String,733,Number,Germany,String,Female,String,33,Number,7,Number,187257.94,Number,1,Number,0,Number,1,Number,190430.81,Number,0,Number
2254,Number,15589643,Number,Ngozichukwuka,String,684,Number,Spain,String,Female,String,41,Number,7,Number,0,Number,1,Number,1,Number,1,Number,138394.37,Number,0,Number
2255,Number,15585533,Number,Calabrese,String,679,Number,France,String,Male,String,36,Number,6,Number,147733.64,Number,1,Number,0,Number,1,Number,172501.38,Number,0,Number
2256,Number,15681506,Number,Lane,String,478,Number,Spain,String,Male,String,43,Number,1,Number,0,Number,2,Number,1,Number,1,Number,197916.43,Number,0,Number
2257,Number,15630551,Number,Forbes,String,696,Number,France,String,Male,String,33,Number,2,Number,163139.27,Number,1,Number,1,Number,1,Number,7035.36,Number,0,Number
2258,Number,15698349,Number,Davy,String,686,Number,Spain,String,Female,String,35,Number,4,Number,0,Number,2,Number,1,Number,1,Number,159676.55,Number,0,Number
2259,Number,15776631,Number,Ma,String,466,Number,France,String,Female,String,36,Number,5,Number,119540.15,Number,1,Number,0,Number,1,Number,80603.99,Number,0,Number
2260,Number,15762216,Number,Barrera,String,686,Number,France,String,Female,String,41,Number,4,Number,129553.76,Number,2,Number,1,Number,0,Number,187599.8,Number,0,Number
2261,Number,15623927,Number,Alexander,String,576,Number,France,String,Male,String,55,Number,9,Number,0,Number,2,Number,1,Number,1,Number,94450.97,Number,0,Number
2262,Number,15681402,Number,Ngozichukwuka,String,763,Number,Germany,String,Female,String,61,Number,1,Number,66101.89,Number,1,Number,1,Number,1,Number,143981.27,Number,0,Number
2263,Number,15586264,Number,Murray,String,572,Number,France,String,Male,String,43,Number,2,Number,140431.98,Number,1,Number,1,Number,0,Number,26450.57,Number,1,Number
2264,Number,15594685,Number,Hall,String,757,Number,France,String,Female,String,49,Number,2,Number,0,Number,2,Number,0,Number,0,Number,164482.92,Number,0,Number
2265,Number,15812945,Number,Padovesi,String,582,Number,France,String,Female,String,29,Number,0,Number,0,Number,1,Number,1,Number,1,Number,84012.81,Number,0,Number
2266,Number,15734628,Number,Lysaght,String,623,Number,France,String,Female,String,35,Number,5,Number,0,Number,2,Number,1,Number,0,Number,101192.08,Number,0,Number
2267,Number,15629323,Number,Kelechi,String,617,Number,Germany,String,Female,String,37,Number,4,Number,116471.43,Number,2,Number,1,Number,0,Number,175324.74,Number,1,Number
2268,Number,15666823,Number,Nebechi,String,425,Number,France,String,Male,String,39,Number,4,Number,0,Number,2,Number,1,Number,0,Number,197226.32,Number,0,Number
2269,Number,15777553,Number,Hanson,String,659,Number,France,String,Female,String,56,Number,9,Number,123785.24,Number,1,Number,1,Number,0,Number,99504.03,Number,1,Number
2270,Number,15613097,Number,Kao,String,605,Number,France,String,Female,String,33,Number,4,Number,0,Number,2,Number,0,Number,1,Number,83700.66,Number,0,Number
2271,Number,15622217,Number,Tu,String,538,Number,France,String,Female,String,38,Number,8,Number,88758.95,Number,2,Number,0,Number,0,Number,28226.15,Number,1,Number
2272,Number,15703588,Number,Palerma,String,665,Number,Germany,String,Male,String,25,Number,5,Number,153611.83,Number,2,Number,1,Number,0,Number,35321.65,Number,0,Number
2273,Number,15570835,Number,Fallaci,String,491,Number,Germany,String,Female,String,57,Number,4,Number,112044.72,Number,1,Number,1,Number,1,Number,41229.73,Number,1,Number
2274,Number,15679299,Number,Shen,String,726,Number,Spain,String,Female,String,27,Number,7,Number,123826.07,Number,1,Number,0,Number,1,Number,78970.58,Number,0,Number
2275,Number,15808044,Number,Ts'ui,String,580,Number,France,String,Female,String,65,Number,9,Number,106804.26,Number,3,Number,1,Number,0,Number,107890.69,Number,1,Number
2276,Number,15579208,Number,Chikezie,String,550,Number,France,String,Female,String,48,Number,6,Number,0,Number,2,Number,1,Number,1,Number,191870.28,Number,0,Number
2277,Number,15684951,Number,He,String,542,Number,France,String,Female,String,59,Number,2,Number,68892.77,Number,2,Number,1,Number,0,Number,7905.06,Number,1,Number
2278,Number,15667620,Number,Dreyer,String,732,Number,France,String,Female,String,43,Number,6,Number,0,Number,2,Number,1,Number,0,Number,65731.53,Number,0,Number
2279,Number,15582960,Number,Short,String,473,Number,France,String,Female,String,33,Number,5,Number,125827.43,Number,1,Number,0,Number,1,Number,145698.73,Number,0,Number
2280,Number,15590730,Number,Hunt,String,745,Number,Spain,String,Male,String,34,Number,9,Number,0,Number,2,Number,1,Number,0,Number,50046.25,Number,0,Number
2281,Number,15763747,Number,Ricci,String,732,Number,France,String,Male,String,36,Number,7,Number,0,Number,2,Number,1,Number,1,Number,60830.24,Number,0,Number
2282,Number,15778320,Number,Teng,String,848,Number,Germany,String,Female,String,40,Number,5,Number,148495.64,Number,1,Number,0,Number,0,Number,158853.98,Number,0,Number
2283,Number,15642787,Number,Ijendu,String,572,Number,France,String,Male,String,37,Number,1,Number,133043.66,Number,1,Number,0,Number,0,Number,111243.09,Number,0,Number
2284,Number,15624633,Number,Kibby,String,702,Number,France,String,Male,String,45,Number,9,Number,74989.58,Number,1,Number,1,Number,1,Number,171014.69,Number,0,Number
2285,Number,15766765,Number,Obiuto,String,664,Number,Germany,String,Male,String,39,Number,7,Number,60263.23,Number,1,Number,1,Number,0,Number,170835.32,Number,0,Number
2286,Number,15783615,Number,Ramos,String,630,Number,Germany,String,Male,String,50,Number,3,Number,129370.91,Number,4,Number,1,Number,1,Number,47775.34,Number,1,Number
2287,Number,15640161,Number,Calabrese,String,618,Number,Germany,String,Male,String,44,Number,5,Number,157955.83,Number,2,Number,0,Number,0,Number,139297.71,Number,0,Number
2288,Number,15619889,Number,Vasin,String,556,Number,France,String,Male,String,26,Number,4,Number,0,Number,1,Number,1,Number,0,Number,195167.38,Number,0,Number
2289,Number,15579166,Number,Munro,String,619,Number,France,String,Female,String,30,Number,7,Number,70729.17,Number,1,Number,1,Number,1,Number,160948.87,Number,0,Number
2290,Number,15789097,Number,Keeley,String,644,Number,France,String,Male,String,48,Number,8,Number,0,Number,2,Number,0,Number,1,Number,44965.54,Number,1,Number
2291,Number,15674880,Number,Archer,String,658,Number,Spain,String,Male,String,50,Number,2,Number,0,Number,2,Number,1,Number,0,Number,52137.73,Number,0,Number
2292,Number,15778157,Number,Murray,String,598,Number,Spain,String,Male,String,27,Number,8,Number,90721.52,Number,2,Number,1,Number,0,Number,109296.18,Number,0,Number
2293,Number,15779064,Number,Chidiegwu,String,677,Number,France,String,Male,String,27,Number,2,Number,0,Number,2,Number,1,Number,1,Number,20092.89,Number,0,Number
2294,Number,15801265,Number,Tang,String,689,Number,Spain,String,Female,String,45,Number,0,Number,57784.22,Number,1,Number,1,Number,0,Number,197804,Number,1,Number
2295,Number,15589204,Number,Farrar,String,591,Number,France,String,Male,String,33,Number,9,Number,131765.72,Number,1,Number,1,Number,0,Number,118782.06,Number,0,Number
2296,Number,15664543,Number,Shaw,String,699,Number,France,String,Male,String,40,Number,7,Number,0,Number,1,Number,0,Number,1,Number,152876.13,Number,1,Number
2297,Number,15582714,Number,Napolitani,String,749,Number,Germany,String,Male,String,47,Number,9,Number,110022.74,Number,1,Number,0,Number,1,Number,135655.29,Number,1,Number
2298,Number,15797595,Number,Greenhalgh,String,709,Number,France,String,Female,String,40,Number,9,Number,131569.63,Number,1,Number,1,Number,1,Number,103970.58,Number,0,Number
2299,Number,15614034,Number,Martin,String,607,Number,Germany,String,Male,String,61,Number,2,Number,164523.5,Number,2,Number,1,Number,1,Number,35786.76,Number,0,Number
2300,Number,15763171,Number,Hu,String,650,Number,Germany,String,Female,String,25,Number,2,Number,114330.95,Number,1,Number,1,Number,1,Number,25325.07,Number,0,Number
2301,Number,15647266,Number,Y?an,String,651,Number,Spain,String,Female,String,45,Number,10,Number,135923.16,Number,1,Number,1,Number,0,Number,18732.84,Number,0,Number
2302,Number,15757577,Number,Odili,String,676,Number,France,String,Female,String,61,Number,8,Number,0,Number,2,Number,1,Number,1,Number,118522.73,Number,0,Number
2303,Number,15736656,Number,H?,String,723,Number,France,String,Female,String,49,Number,4,Number,0,Number,2,Number,0,Number,1,Number,89972.25,Number,0,Number
2304,Number,15635078,Number,Chiemela,String,714,Number,Spain,String,Male,String,45,Number,0,Number,124693.48,Number,1,Number,0,Number,1,Number,187194.15,Number,0,Number
2305,Number,15680141,Number,Yuan,String,759,Number,Spain,String,Female,String,35,Number,7,Number,147936.42,Number,1,Number,1,Number,1,Number,106785.7,Number,0,Number
2306,Number,15576945,Number,Clements,String,582,Number,France,String,Male,String,29,Number,0,Number,0,Number,1,Number,1,Number,0,Number,142516.35,Number,0,Number
2307,Number,15602034,Number,Kolesnikov,String,697,Number,France,String,Female,String,34,Number,2,Number,126558.92,Number,1,Number,1,Number,0,Number,73334.43,Number,0,Number
2308,Number,15732020,Number,Rutherford,String,610,Number,Germany,String,Male,String,57,Number,6,Number,106938.11,Number,2,Number,0,Number,1,Number,186612.47,Number,0,Number
2309,Number,15611029,Number,Hsiung,String,488,Number,Germany,String,Female,String,33,Number,4,Number,140002.35,Number,1,Number,1,Number,0,Number,123613.81,Number,0,Number
2310,Number,15621210,Number,Angelo,String,599,Number,Germany,String,Male,String,46,Number,9,Number,123444.72,Number,1,Number,1,Number,1,Number,31368.08,Number,1,Number
2311,Number,15569222,Number,Mendes,String,781,Number,France,String,Male,String,32,Number,6,Number,147107.91,Number,1,Number,1,Number,1,Number,40066.95,Number,0,Number
2312,Number,15664639,Number,McGregor,String,645,Number,France,String,Male,String,19,Number,9,Number,128514.84,Number,1,Number,0,Number,0,Number,175969.19,Number,0,Number
2313,Number,15724223,Number,Bronner,String,545,Number,France,String,Female,String,55,Number,5,Number,0,Number,1,Number,0,Number,0,Number,10034.77,Number,1,Number
2314,Number,15644621,Number,Mironova,String,597,Number,Germany,String,Female,String,40,Number,9,Number,106756.01,Number,2,Number,1,Number,0,Number,151167.94,Number,0,Number
2315,Number,15756056,Number,Ku,String,561,Number,Spain,String,Female,String,28,Number,3,Number,0,Number,2,Number,1,Number,0,Number,191387.76,Number,0,Number
2316,Number,15700353,Number,Evans,String,662,Number,France,String,Female,String,37,Number,6,Number,0,Number,2,Number,1,Number,0,Number,51229.17,Number,0,Number
2317,Number,15624388,Number,Henderson,String,649,Number,Germany,String,Female,String,50,Number,5,Number,155393.32,Number,1,Number,1,Number,1,Number,87351.42,Number,1,Number
2318,Number,15627212,Number,Smith,String,630,Number,France,String,Female,String,36,Number,2,Number,110414.48,Number,1,Number,1,Number,1,Number,48984.95,Number,0,Number
2319,Number,15648005,Number,Russell,String,672,Number,Spain,String,Male,String,33,Number,2,Number,0,Number,2,Number,1,Number,1,Number,182738,Number,0,Number
2320,Number,15681446,Number,Sun,String,636,Number,Germany,String,Female,String,37,Number,9,Number,157098.52,Number,1,Number,1,Number,1,Number,153535.27,Number,0,Number
2321,Number,15775888,Number,McDonald,String,593,Number,Germany,String,Female,String,38,Number,5,Number,85626.6,Number,1,Number,1,Number,1,Number,125079.65,Number,0,Number
2322,Number,15749019,Number,Wong,String,545,Number,Germany,String,Male,String,45,Number,6,Number,93796.42,Number,2,Number,1,Number,1,Number,162321.26,Number,0,Number
2323,Number,15709928,Number,Niu,String,567,Number,Spain,String,Female,String,41,Number,1,Number,0,Number,2,Number,1,Number,0,Number,3414.72,Number,0,Number
2324,Number,15784676,Number,Fanucci,String,583,Number,France,String,Male,String,51,Number,6,Number,125268.03,Number,2,Number,1,Number,0,Number,165082.25,Number,0,Number
2325,Number,15748116,Number,Zetticci,String,681,Number,France,String,Female,String,29,Number,2,Number,148143.84,Number,1,Number,1,Number,1,Number,52021.39,Number,0,Number
2326,Number,15612193,Number,Hsia,String,762,Number,Spain,String,Male,String,29,Number,10,Number,115545.33,Number,2,Number,1,Number,0,Number,148256.43,Number,0,Number
2327,Number,15762984,Number,McIntosh,String,648,Number,Spain,String,Male,String,35,Number,7,Number,0,Number,2,Number,0,Number,0,Number,122899.01,Number,0,Number
2328,Number,15613713,Number,Kozlova,String,644,Number,France,String,Male,String,30,Number,5,Number,44928.88,Number,1,Number,1,Number,1,Number,10771.46,Number,0,Number
2329,Number,15664204,Number,Meany,String,706,Number,Spain,String,Male,String,29,Number,2,Number,0,Number,2,Number,1,Number,1,Number,18255.51,Number,0,Number
2330,Number,15639415,Number,Thompson,String,850,Number,France,String,Male,String,35,Number,3,Number,162442.35,Number,1,Number,1,Number,0,Number,183566.78,Number,0,Number
2331,Number,15806332,Number,"Le Gallienne",String,484,Number,Spain,String,Female,String,39,Number,5,Number,0,Number,2,Number,1,Number,1,Number,175224.12,Number,0,Number
2332,Number,15614929,Number,Cheng,String,508,Number,Germany,String,Male,String,28,Number,0,Number,96213.82,Number,2,Number,1,Number,0,Number,147913.56,Number,0,Number
2333,Number,15695492,Number,P'eng,String,439,Number,France,String,Female,String,29,Number,6,Number,156569.43,Number,1,Number,1,Number,0,Number,180598.66,Number,0,Number
2334,Number,15635972,Number,Lloyd,String,484,Number,Spain,String,Male,String,36,Number,8,Number,0,Number,2,Number,1,Number,0,Number,186136.48,Number,0,Number
2335,Number,15616380,Number,Wheeler,String,803,Number,Spain,String,Female,String,37,Number,1,Number,0,Number,2,Number,0,Number,0,Number,7455.2,Number,0,Number
2336,Number,15581440,Number,Christie,String,724,Number,Germany,String,Female,String,48,Number,6,Number,110463.25,Number,2,Number,1,Number,1,Number,80552.11,Number,1,Number
2337,Number,15654390,Number,He,String,640,Number,France,String,Male,String,33,Number,7,Number,154575.76,Number,1,Number,1,Number,0,Number,25722.28,Number,1,Number
2338,Number,15660688,Number,King,String,701,Number,Spain,String,Female,String,35,Number,9,Number,0,Number,2,Number,0,Number,0,Number,170996.86,Number,0,Number
2339,Number,15806307,Number,Favors,String,537,Number,France,String,Male,String,37,Number,3,Number,0,Number,2,Number,1,Number,1,Number,20603.32,Number,0,Number
2340,Number,15647975,Number,Vida,String,651,Number,Germany,String,Male,String,26,Number,5,Number,147037.32,Number,1,Number,0,Number,0,Number,141763.26,Number,0,Number
2341,Number,15595728,Number,Thomas,String,523,Number,Germany,String,Male,String,41,Number,0,Number,119276.31,Number,1,Number,0,Number,0,Number,122284.38,Number,1,Number
2342,Number,15735388,Number,Wayn,String,717,Number,France,String,Female,String,25,Number,7,Number,108664.85,Number,2,Number,1,Number,0,Number,190011.85,Number,0,Number
2343,Number,15788535,Number,Tan,String,593,Number,Spain,String,Male,String,44,Number,5,Number,0,Number,1,Number,1,Number,0,Number,128046.98,Number,0,Number
2344,Number,15765902,Number,Gibson,String,706,Number,Germany,String,Male,String,38,Number,5,Number,163034.82,Number,2,Number,1,Number,1,Number,135662.17,Number,0,Number
2345,Number,15642345,Number,Y?,String,714,Number,Germany,String,Female,String,49,Number,4,Number,93059.34,Number,1,Number,1,Number,0,Number,7571.51,Number,1,Number
2346,Number,15641250,Number,Calabresi,String,794,Number,Spain,String,Male,String,38,Number,9,Number,179581.31,Number,1,Number,1,Number,0,Number,23596.24,Number,0,Number
2347,Number,15706163,Number,Enyinnaya,String,518,Number,Germany,String,Male,String,46,Number,4,Number,113625.93,Number,1,Number,0,Number,0,Number,92727.42,Number,1,Number
2348,Number,15746708,Number,Ritchie,String,589,Number,Germany,String,Male,String,55,Number,7,Number,119961.48,Number,1,Number,1,Number,0,Number,65156.83,Number,1,Number
2349,Number,15775203,Number,Chia,String,824,Number,France,String,Male,String,45,Number,3,Number,129209.48,Number,1,Number,0,Number,0,Number,60151.77,Number,0,Number
2350,Number,15787907,Number,Wang,String,719,Number,Germany,String,Female,String,42,Number,5,Number,137227.04,Number,3,Number,1,Number,0,Number,149097.38,Number,1,Number
2351,Number,15646764,Number,Lorenzo,String,617,Number,Germany,String,Female,String,58,Number,3,Number,119024.75,Number,2,Number,1,Number,0,Number,35199.24,Number,1,Number
2352,Number,15678284,Number,Pai,String,651,Number,France,String,Male,String,35,Number,7,Number,74623.5,Number,3,Number,1,Number,0,Number,129451.29,Number,1,Number
2353,Number,15726791,Number,Nuttall,String,637,Number,Spain,String,Female,String,45,Number,2,Number,157929.45,Number,1,Number,1,Number,1,Number,145134.49,Number,1,Number
2354,Number,15813144,Number,Osborne,String,554,Number,France,String,Female,String,26,Number,7,Number,92606.86,Number,2,Number,1,Number,0,Number,192709.69,Number,0,Number
2355,Number,15669342,Number,Ferri,String,731,Number,Germany,String,Male,String,35,Number,2,Number,127862.93,Number,2,Number,1,Number,0,Number,139083.7,Number,0,Number
2356,Number,15710366,Number,Hamilton,String,569,Number,Spain,String,Female,String,42,Number,1,Number,0,Number,1,Number,1,Number,1,Number,83629.6,Number,1,Number
2357,Number,15614934,Number,McEwan,String,625,Number,Germany,String,Female,String,37,Number,4,Number,142711.81,Number,1,Number,1,Number,0,Number,35625.41,Number,0,Number
2358,Number,15588701,Number,Lai,String,592,Number,France,String,Female,String,38,Number,4,Number,0,Number,2,Number,1,Number,0,Number,35338.96,Number,0,Number
2359,Number,15665438,Number,Hs?,String,669,Number,France,String,Male,String,43,Number,1,Number,163159.85,Number,1,Number,0,Number,1,Number,15602.8,Number,0,Number
2360,Number,15644896,Number,Thompson,String,663,Number,Germany,String,Male,String,32,Number,3,Number,108586.86,Number,1,Number,1,Number,1,Number,182355.21,Number,0,Number
2361,Number,15670205,Number,Boyd,String,518,Number,Germany,String,Female,String,41,Number,5,Number,110624.99,Number,1,Number,1,Number,0,Number,89327.67,Number,0,Number
2362,Number,15635776,Number,Trevisani,String,686,Number,Germany,String,Female,String,43,Number,5,Number,154846.24,Number,2,Number,1,Number,1,Number,151903.6,Number,0,Number
2363,Number,15791053,Number,Lucciano,String,709,Number,Germany,String,Male,String,45,Number,4,Number,122917.71,Number,1,Number,1,Number,1,Number,11.58,Number,1,Number
2364,Number,15644005,Number,Holman,String,571,Number,France,String,Female,String,33,Number,9,Number,0,Number,2,Number,0,Number,1,Number,77519.62,Number,0,Number
2365,Number,15796343,Number,Bazhenov,String,707,Number,France,String,Female,String,31,Number,2,Number,82787.93,Number,2,Number,0,Number,0,Number,91423.69,Number,0,Number
2366,Number,15751057,Number,Douglas,String,701,Number,Germany,String,Male,String,32,Number,5,Number,102500.34,Number,1,Number,0,Number,0,Number,106287.77,Number,0,Number
2367,Number,15623430,Number,Hill,String,672,Number,France,String,Male,String,34,Number,9,Number,0,Number,2,Number,1,Number,0,Number,161800.77,Number,0,Number
2368,Number,15682600,Number,Lo,String,620,Number,Germany,String,Male,String,39,Number,9,Number,159492.79,Number,1,Number,1,Number,0,Number,80582.34,Number,1,Number
2369,Number,15769312,Number,Forbes,String,557,Number,Spain,String,Male,String,48,Number,10,Number,0,Number,2,Number,1,Number,1,Number,185094.48,Number,0,Number
2370,Number,15708212,Number,Lin,String,648,Number,Spain,String,Female,String,54,Number,7,Number,118241.02,Number,1,Number,1,Number,0,Number,172586.89,Number,1,Number
2371,Number,15650258,Number,Sinclair,String,479,Number,France,String,Female,String,35,Number,2,Number,113090.4,Number,1,Number,1,Number,0,Number,195649.79,Number,0,Number
2372,Number,15604345,Number,Kemp,String,730,Number,France,String,Female,String,22,Number,9,Number,65763.57,Number,1,Number,1,Number,1,Number,145792.01,Number,0,Number
2373,Number,15578297,Number,Ebelegbulam,String,737,Number,Germany,String,Female,String,43,Number,1,Number,125537.38,Number,1,Number,1,Number,0,Number,138510.01,Number,1,Number
2374,Number,15671789,Number,Woods,String,616,Number,France,String,Male,String,31,Number,3,Number,94263.91,Number,2,Number,1,Number,0,Number,168895.06,Number,0,Number
2375,Number,15726186,Number,Genovese,String,639,Number,Spain,String,Male,String,29,Number,4,Number,133434.57,Number,2,Number,1,Number,0,Number,97983.44,Number,0,Number
2376,Number,15764618,Number,Tseng,String,815,Number,Spain,String,Female,String,39,Number,6,Number,0,Number,1,Number,1,Number,1,Number,85167.88,Number,0,Number
2377,Number,15730738,Number,Chiang,String,786,Number,Spain,String,Male,String,31,Number,9,Number,0,Number,2,Number,1,Number,1,Number,18210.36,Number,0,Number
2378,Number,15637650,Number,Williams,String,549,Number,France,String,Male,String,50,Number,9,Number,94748.76,Number,2,Number,0,Number,1,Number,13608.18,Number,0,Number
2379,Number,15606267,Number,Wilson,String,622,Number,France,String,Female,String,38,Number,4,Number,98640.74,Number,1,Number,1,Number,1,Number,110457.99,Number,0,Number
2380,Number,15625904,Number,Wang,String,624,Number,France,String,Male,String,26,Number,9,Number,74681.9,Number,2,Number,0,Number,0,Number,31231.35,Number,0,Number
2381,Number,15654463,Number,Moore,String,841,Number,France,String,Male,String,34,Number,4,Number,0,Number,2,Number,1,Number,0,Number,141582.66,Number,0,Number
2382,Number,15774151,Number,Iadanza,String,614,Number,Spain,String,Female,String,41,Number,7,Number,179915.85,Number,1,Number,0,Number,0,Number,14666.35,Number,1,Number
2383,Number,15693259,Number,Wallace,String,676,Number,France,String,Male,String,30,Number,1,Number,128207.23,Number,1,Number,1,Number,1,Number,55400.17,Number,0,Number
2384,Number,15642468,Number,Clark,String,697,Number,France,String,Male,String,42,Number,9,Number,132739.26,Number,2,Number,0,Number,0,Number,174667.65,Number,0,Number
2385,Number,15758531,Number,Y?,String,732,Number,France,String,Female,String,40,Number,10,Number,0,Number,2,Number,1,Number,0,Number,154189.08,Number,0,Number
2386,Number,15728352,Number,Yermakov,String,623,Number,France,String,Male,String,27,Number,4,Number,120509.81,Number,1,Number,0,Number,0,Number,142170.44,Number,0,Number
2387,Number,15637240,Number,Wei,String,541,Number,France,String,Male,String,46,Number,4,Number,124547.13,Number,2,Number,1,Number,0,Number,94499.06,Number,0,Number
2388,Number,15595588,Number,Chukwunonso,String,773,Number,Spain,String,Female,String,39,Number,4,Number,0,Number,2,Number,0,Number,1,Number,182081.45,Number,0,Number
2389,Number,15778395,Number,McIntyre,String,762,Number,Germany,String,Male,String,34,Number,4,Number,88815.56,Number,2,Number,1,Number,0,Number,68562.26,Number,1,Number
2390,Number,15711825,Number,Ts'ai,String,655,Number,Spain,String,Female,String,35,Number,1,Number,82231.51,Number,2,Number,1,Number,0,Number,88798.02,Number,0,Number
2391,Number,15599251,Number,Chung,String,602,Number,Germany,String,Male,String,32,Number,7,Number,184715.86,Number,2,Number,1,Number,0,Number,113781.99,Number,0,Number
2392,Number,15570004,Number,Tsou,String,850,Number,France,String,Male,String,31,Number,3,Number,0,Number,2,Number,1,Number,0,Number,121866.87,Number,0,Number
2393,Number,15656912,Number,Aitken,String,649,Number,Spain,String,Male,String,51,Number,4,Number,0,Number,1,Number,1,Number,1,Number,150390.57,Number,0,Number
2394,Number,15657342,Number,Dawson,String,850,Number,Germany,String,Male,String,28,Number,4,Number,147972.19,Number,1,Number,1,Number,0,Number,60708.72,Number,1,Number
2395,Number,15716284,Number,Ward,String,543,Number,France,String,Male,String,43,Number,9,Number,0,Number,2,Number,1,Number,1,Number,78858.07,Number,0,Number
2396,Number,15672374,Number,Pai,String,672,Number,France,String,Male,String,52,Number,8,Number,170008.84,Number,1,Number,0,Number,0,Number,56407.42,Number,1,Number
2397,Number,15732476,Number,Ifeanyichukwu,String,600,Number,France,String,Female,String,27,Number,3,Number,0,Number,2,Number,0,Number,1,Number,125698.97,Number,0,Number
2398,Number,15747724,Number,Briggs,String,671,Number,Spain,String,Female,String,34,Number,10,Number,0,Number,1,Number,1,Number,0,Number,23235.38,Number,0,Number
2399,Number,15633877,Number,Morrison,String,706,Number,Spain,String,Female,String,42,Number,8,Number,95386.82,Number,1,Number,1,Number,1,Number,75732.25,Number,0,Number
2400,Number,15672516,Number,Wall,String,541,Number,Germany,String,Male,String,51,Number,7,Number,90373.28,Number,2,Number,1,Number,0,Number,179861.79,Number,0,Number
2401,Number,15607827,Number,Nebechukwu,String,711,Number,Germany,String,Male,String,34,Number,4,Number,133467.77,Number,2,Number,1,Number,1,Number,42976.64,Number,0,Number
2402,Number,15751336,Number,Yao,String,630,Number,Spain,String,Male,String,30,Number,3,Number,0,Number,2,Number,0,Number,1,Number,10486.69,Number,0,Number
2403,Number,15646539,Number,Liao,String,531,Number,France,String,Male,String,31,Number,3,Number,96288.26,Number,1,Number,1,Number,0,Number,56794.73,Number,0,Number
2404,Number,15756901,Number,Ch'ang,String,641,Number,France,String,Female,String,26,Number,4,Number,91547.84,Number,2,Number,0,Number,1,Number,28157.34,Number,0,Number
2405,Number,15809286,Number,Burke,String,631,Number,Germany,String,Male,String,37,Number,8,Number,138292.64,Number,2,Number,0,Number,0,Number,152422.91,Number,1,Number
2406,Number,15759021,Number,Kay,String,685,Number,France,String,Male,String,35,Number,9,Number,0,Number,1,Number,1,Number,0,Number,167033.83,Number,0,Number
2407,Number,15725039,Number,McIntyre,String,702,Number,Spain,String,Male,String,32,Number,8,Number,71667.74,Number,1,Number,1,Number,1,Number,126082.18,Number,0,Number
2408,Number,15579130,Number,Chidiegwu,String,708,Number,Germany,String,Female,String,43,Number,0,Number,118994.84,Number,1,Number,1,Number,0,Number,181499.77,Number,1,Number
2409,Number,15754112,Number,Musgrove,String,653,Number,Spain,String,Male,String,55,Number,7,Number,0,Number,2,Number,1,Number,1,Number,41967.03,Number,0,Number
2410,Number,15735522,Number,Boulger,String,654,Number,Germany,String,Male,String,37,Number,2,Number,145610.07,Number,2,Number,0,Number,0,Number,186300.59,Number,0,Number
2411,Number,15613326,Number,Gow,String,596,Number,France,String,Female,String,33,Number,1,Number,138162.81,Number,1,Number,1,Number,0,Number,85412.54,Number,0,Number
2412,Number,15739502,Number,Amaechi,String,549,Number,Germany,String,Female,String,31,Number,9,Number,135020.21,Number,2,Number,1,Number,1,Number,23343.18,Number,0,Number
2413,Number,15670914,Number,Robe,String,754,Number,France,String,Male,String,38,Number,2,Number,0,Number,2,Number,1,Number,0,Number,180698.32,Number,0,Number
2414,Number,15604073,Number,Bibi,String,815,Number,Germany,String,Female,String,25,Number,8,Number,135161.67,Number,1,Number,1,Number,1,Number,136071.05,Number,0,Number
